Platform,Content_Type,Category,Likes,Comments,Shares,Views,Saves,Follower_Count,Engagement_Rate,Hour_of_Day,Day_of_Week,Hashtag_Count,Content_Length,Sentiment,Influencer_Tier,Has_Media,Is_Verified,Time_Period,Engagement_Class
TikTok,Video,Education,34926,1449,3341,354835,1920,27992,141.88,3,Monday,9.0,286,Positive,Micro,True,False,Night,1
Facebook,Post,Health,3671,151,409,6050,76,485841,0.87,8,Monday,9.0,353,Positive,Macro,True,False,Morning,0
Twitter,Retweet,Travel,2445,186,430,17552,7,60343,5.07,9,Monday,1.0,1793,Negative,Mid-tier,True,False,Morning,1
LinkedIn,Poll,Technology,533,147,464,29868,241,416234,0.27,13,Monday,25.0,1756,Positive,Macro,True,False,Afternoon,0
Facebook,Video,Business,7911,212,503,32945,436,124002,6.96,23,Monday,14.0,439,Negative,Macro,True,False,Night,1
Facebook,Live,Entertainment,668,32,28,63734,208,336564,0.22,3,Tuesday,24.0,419,Neutral,Macro,True,False,Night,0
Instagram,Photo,Sports,6311,13,87,6586,249,88877,7.21,5,Tuesday,23.0,1421,Positive,Mid-tier,True,False,Morning,1
Twitter,Tweet,Entertainment,4062,189,977,13016,60,343023,1.52,8,Tuesday,29.0,1007,Neutral,Macro,False,False,Morning,0
TikTok,Stitch,Business,38307,721,1223,61152,1441,127710,31.52,9,Tuesday,9.0,341,Neutral,Macro,True,False,Morning,1
Instagram,Carousel,Business,4420,362,21,41598,959,80845,5.94,9,Tuesday,3.0,556,Positive,Mid-tier,False,False,Morning,1
Instagram,Photo,Entertainment,925,19,212,12593,552,318853,0.36,9,Tuesday,4.0,389,Neutral,Macro,True,False,Morning,0
Facebook,Story,Technology,4590,202,205,5224,687,410912,1.22,10,Tuesday,2.0,550,Neutral,Macro,True,False,Morning,0
Facebook,Post,Lifestyle,6010,170,123,1811,512,233594,2.7,13,Tuesday,11.0,1786,Positive,Macro,True,True,Afternoon,1
TikTok,Video,Fashion,21177,913,4600,467745,2648,55301,48.26,17,Tuesday,4.0,202,Positive,Mid-tier,True,False,Evening,1
Instagram,Reel,Gaming,3763,64,120,35066,480,393133,1.0,21,Tuesday,21.0,370,Neutral,Macro,True,True,Night,0
Twitter,Retweet,Sports,689,207,314,52798,271,362381,0.33,1,Wednesday,26.0,828,Positive,Macro,True,False,Night,0
YouTube,Community Post,Education,10640,178,326,456592,37,140748,7.92,4,Wednesday,29.0,966,Neutral,Macro,True,False,Night,1
Instagram,Reel,Gaming,2583,371,17,46427,444,214849,1.38,9,Wednesday,5.0,584,Negative,Macro,True,False,Morning,0
TikTok,Duet,Food,48063,1256,4979,212537,1221,431285,12.59,9,Wednesday,24.0,433,Neutral,Macro,True,False,Morning,1
TikTok,Stitch,Health,10104,1622,4446,460216,297,418587,3.86,13,Wednesday,5.0,545,Positive,Macro,True,False,Afternoon,1
Twitter,Retweet,Fashion,1362,243,1696,43042,14,297465,1.11,17,Wednesday,15.0,617,Neutral,Macro,True,False,Evening,0
TikTok,Stitch,Lifestyle,31658,947,4470,48585,2944,441067,8.41,18,Wednesday,8.0,240,Positive,Macro,True,False,Evening,1
Facebook,Video,Fashion,5023,273,405,11823,163,172617,3.3,18,Wednesday,18.0,352,Neutral,Macro,True,True,Evening,1
LinkedIn,Article,Sports,259,80,285,25273,224,153491,0.41,20,Wednesday,13.0,586,Positive,Macro,True,True,Evening,0
YouTube,Community Post,Gaming,1908,380,935,537630,3669,442916,0.73,21,Wednesday,9.0,796,Neutral,Macro,True,True,Night,0
Instagram,Carousel,Business,9913,172,238,26704,14,21619,47.75,23,Wednesday,21.0,613,Positive,Micro,True,True,Night,1
Facebook,Story,Sports,2893,343,559,30227,188,476833,0.8,2,Thursday,29.0,156,Neutral,Macro,False,False,Night,0
LinkedIn,Document,Education,1834,143,392,13771,94,246901,0.96,3,Thursday,3.0,1612,Positive,Macro,True,True,Night,0
Instagram,Carousel,Gaming,5649,79,231,46709,64,336128,1.77,3,Thursday,5.0,354,Positive,Macro,True,True,Night,0
YouTube,Short,Sports,17810,395,1148,460099,20,71458,27.08,3,Thursday,0.0,380,Negative,Mid-tier,False,False,Night,1
TikTok,Stitch,Lifestyle,30757,737,580,122339,1202,390792,8.21,3,Thursday,5.0,17,Positive,Macro,True,False,Night,1
Facebook,Live,Health,3122,221,597,11328,550,465020,0.85,7,Thursday,24.0,545,Negative,Macro,True,True,Morning,0
TikTok,Stitch,Entertainment,15804,1927,1376,429388,207,404820,4.72,10,Thursday,3.0,408,Neutral,Macro,True,False,Morning,1
YouTube,Video,Sports,11690,842,163,875113,590,304988,4.16,16,Thursday,14.0,567,Positive,Macro,False,True,Afternoon,1
Twitter,Thread,Gaming,1698,280,1962,71184,463,275535,1.43,18,Thursday,0.0,1308,Negative,Macro,True,False,Evening,0
Instagram,Story,Business,5353,49,244,23854,955,461273,1.22,21,Thursday,27.0,128,Negative,Macro,True,False,Night,0
TikTok,Stitch,Lifestyle,6157,1293,2712,180050,2352,144042,7.05,23,Thursday,26.0,397,Negative,Macro,True,False,Night,1
Instagram,Story,Food,1592,259,76,15030,196,109105,1.77,9,Friday,13.0,539,Positive,Macro,True,False,Morning,0
Facebook,Video,Gaming,6318,237,695,15855,143,311281,2.33,9,Friday,12.0,364,Positive,Macro,True,False,Morning,1
Facebook,Story,Entertainment,4551,383,490,10747,192,12350,43.92,13,Friday,20.0,263,Neutral,Micro,False,False,Afternoon,1
LinkedIn,Document,Business,900,67,439,13193,30,179133,0.78,17,Friday,5.0,1815,Positive,Macro,True,True,Evening,0
Facebook,Video,Technology,7625,387,57,50221,414,456802,1.77,19,Friday,6.0,383,Neutral,Macro,True,False,Evening,0
TikTok,Stitch,Technology,48699,671,3192,349638,1678,97037,54.17,21,Friday,9.0,399,Positive,Mid-tier,False,False,Night,1
LinkedIn,Post,Education,1264,84,414,18398,53,55001,3.2,1,Saturday,28.0,583,Neutral,Mid-tier,True,False,Night,1
Facebook,Live,Travel,7171,40,875,49303,567,31302,25.83,5,Saturday,18.0,441,Positive,Micro,True,False,Morning,1
Instagram,Story,Entertainment,5232,414,280,38846,595,364561,1.63,8,Saturday,5.0,774,Neutral,Macro,True,False,Morning,0
Twitter,Poll,Travel,4986,258,132,96387,149,358369,1.5,9,Saturday,25.0,174,Positive,Macro,True,True,Morning,0
Instagram,Reel,Fitness,511,346,118,39053,373,148121,0.66,9,Saturday,28.0,483,Neutral,Macro,False,False,Morning,0
Instagram,Story,Education,546,58,176,43805,800,395107,0.2,15,Saturday,19.0,680,Neutral,Macro,False,True,Afternoon,0
Facebook,Story,Health,4787,69,709,12160,538,176550,3.15,16,Saturday,21.0,1145,Positive,Macro,True,False,Afternoon,1
Instagram,Photo,Fashion,2843,391,171,38193,707,63970,5.32,4,Sunday,0.0,1114,Positive,Mid-tier,False,False,Night,1
Twitter,Retweet,Sports,653,168,1022,26968,49,310380,0.59,10,Sunday,17.0,1354,Positive,Macro,True,False,Morning,0
TikTok,Video,Gaming,49949,41,4894,67355,598,204123,26.89,15,Sunday,27.0,212,Positive,Macro,True,False,Afternoon,1
Instagram,Carousel,Sports,4163,107,71,24682,660,34828,12.46,22,Sunday,4.0,1333,Positive,Micro,True,True,Night,1
Twitter,Retweet,Sports,3032,138,1938,53762,141,139845,3.65,3,Monday,27.0,151,Positive,Macro,True,False,Night,1
Twitter,Thread,Travel,769,174,305,38463,403,318346,0.39,3,Monday,25.0,492,Neutral,Macro,True,False,Night,0
Instagram,Story,Sports,5426,47,243,2077,104,332368,1.72,6,Monday,4.0,1602,Positive,Macro,True,True,Morning,0
TikTok,Video,Health,17244,783,1572,28115,1007,17755,110.39,10,Monday,16.0,71,Neutral,Micro,False,False,Morning,1
Instagram,Carousel,Gaming,1675,376,176,30325,575,33048,6.74,12,Monday,21.0,1126,Positive,Micro,True,True,Afternoon,1
LinkedIn,Article,Travel,388,139,137,19661,113,10881,6.1,14,Monday,27.0,612,Neutral,Micro,True,True,Afternoon,1
Twitter,Poll,Lifestyle,136,11,1108,3693,436,456594,0.27,20,Monday,18.0,167,Neutral,Macro,True,False,Evening,0
TikTok,Stitch,Food,6493,1424,740,157531,2279,168516,5.14,22,Monday,8.0,429,Positive,Macro,True,True,Night,1
Twitter,Thread,Entertainment,1360,155,1833,27013,99,55290,6.06,7,Tuesday,2.0,1280,Positive,Mid-tier,False,True,Morning,1
Instagram,Photo,Health,5987,51,280,30931,739,37309,16.93,11,Tuesday,19.0,401,Negative,Micro,True,False,Morning,1
Instagram,Story,Entertainment,8608,436,159,14381,95,351092,2.62,12,Tuesday,29.0,162,Positive,Macro,True,False,Afternoon,1
Instagram,Carousel,Lifestyle,6842,344,33,20512,274,285501,2.53,13,Tuesday,0.0,1713,Negative,Macro,True,False,Afternoon,1
Twitter,Tweet,Lifestyle,358,127,1877,41452,70,221093,1.07,13,Tuesday,0.0,1613,Positive,Macro,True,False,Afternoon,0
Facebook,Story,Entertainment,5439,52,514,72654,309,50120,11.98,19,Tuesday,3.0,1521,Positive,Mid-tier,True,False,Evening,1
YouTube,Community Post,Technology,15488,771,1690,804922,2809,372996,4.81,19,Tuesday,17.0,406,Neutral,Macro,True,False,Evening,1
Instagram,Carousel,Gaming,2089,296,256,30449,394,382968,0.69,4,Wednesday,25.0,1755,Negative,Macro,True,False,Night,0
TikTok,Video,Health,38849,1991,767,313697,850,232446,17.9,7,Wednesday,26.0,76,Positive,Macro,True,False,Morning,1
Instagram,Carousel,Technology,5032,270,76,11853,514,46332,11.61,9,Wednesday,0.0,137,Neutral,Micro,True,False,Morning,1
LinkedIn,Poll,Health,1634,109,292,19039,44,470866,0.43,19,Wednesday,6.0,1096,Positive,Macro,False,False,Evening,0
Instagram,Carousel,Business,9056,295,209,7086,465,376615,2.54,10,Thursday,26.0,1960,Positive,Macro,True,False,Morning,1
Twitter,Retweet,Fitness,3602,143,1613,43589,73,112446,4.76,11,Thursday,26.0,751,Positive,Macro,False,False,Morning,1
Twitter,Retweet,Sports,4074,294,1618,49343,460,282035,2.12,11,Thursday,13.0,769,Neutral,Macro,True,False,Morning,0
Facebook,Post,Lifestyle,7117,149,96,39538,792,334536,2.2,14,Thursday,11.0,1533,Positive,Macro,True,False,Afternoon,0
Instagram,Carousel,Education,6862,265,196,9533,360,220263,3.32,16,Thursday,22.0,992,Positive,Macro,True,False,Afternoon,1
LinkedIn,Article,Entertainment,1720,6,376,6417,159,171872,1.22,22,Thursday,4.0,1759,Negative,Macro,False,True,Night,0
Instagram,Carousel,Lifestyle,2741,463,20,21932,796,493485,0.65,0,Friday,16.0,791,Negative,Macro,True,True,Night,0
Instagram,Carousel,Travel,6526,457,52,35741,145,428857,1.64,1,Friday,3.0,326,Positive,Macro,True,True,Night,0
Instagram,Photo,Health,157,76,109,29992,407,480704,0.07,6,Friday,6.0,156,Positive,Macro,True,True,Morning,0
Instagram,Carousel,Fitness,3658,68,238,47894,814,232457,1.71,6,Friday,16.0,1976,Positive,Macro,True,True,Morning,0
Facebook,Video,Sports,2016,312,30,30964,483,375602,0.63,7,Friday,11.0,304,Positive,Macro,True,False,Morning,0
LinkedIn,Post,Entertainment,1842,26,29,20531,227,150377,1.26,10,Friday,15.0,201,Neutral,Macro,True,True,Morning,0
Facebook,Story,Fashion,4406,252,231,28062,65,75833,6.45,11,Friday,2.0,1314,Positive,Mid-tier,True,True,Morning,1
Instagram,Reel,Fitness,1747,132,256,11180,878,340852,0.63,12,Friday,25.0,31,Neutral,Macro,True,False,Afternoon,0
Twitter,Poll,Health,1604,24,578,80114,333,190416,1.16,12,Friday,18.0,291,Positive,Macro,True,True,Afternoon,0
TikTok,Video,Travel,34898,551,637,296174,1391,76939,46.9,22,Friday,14.0,124,Positive,Mid-tier,True,True,Night,1
Instagram,Reel,Fitness,7710,138,240,20420,589,86087,9.4,23,Friday,0.0,360,Negative,Mid-tier,True,False,Night,1
Facebook,Video,Sports,5693,211,648,45449,40,80866,8.1,1,Saturday,26.0,265,Positive,Mid-tier,True,False,Night,1
Facebook,Live,Fitness,3085,383,16,11122,39,26854,12.97,14,Saturday,4.0,31,Positive,Micro,True,False,Afternoon,1
Instagram,Reel,Business,2903,405,294,48522,698,325082,1.11,16,Saturday,3.0,106,Positive,Macro,True,False,Afternoon,0
TikTok,Stitch,Fitness,27295,1327,199,71332,1517,278487,10.35,17,Saturday,16.0,385,Positive,Macro,True,False,Evening,1
Facebook,Post,Gaming,2410,368,791,49386,137,137227,2.6,19,Saturday,21.0,383,Neutral,Macro,True,False,Evening,1
Facebook,Post,Education,4779,124,289,20993,367,118391,4.39,0,Sunday,19.0,1115,Negative,Macro,False,True,Night,1
TikTok,Stitch,Technology,36687,1326,1777,468070,2890,38522,103.29,4,Sunday,6.0,307,Negative,Micro,True,False,Night,1
TikTok,Duet,Food,47307,1839,3771,146295,2555,390184,13.56,10,Sunday,8.0,47,Neutral,Macro,True,False,Morning,1
Twitter,Thread,Fitness,3466,86,1904,41950,387,473533,1.15,13,Sunday,3.0,178,Positive,Macro,True,False,Afternoon,0
Twitter,Thread,Fashion,4950,191,142,65435,461,198064,2.67,16,Sunday,2.0,250,Positive,Macro,True,False,Afternoon,1
Instagram,Photo,Fitness,1948,124,134,2927,611,458021,0.48,17,Sunday,22.0,591,Positive,Macro,True,True,Evening,0
Instagram,Reel,Gaming,6836,186,195,41477,480,159666,4.52,19,Sunday,14.0,218,Neutral,Macro,True,True,Evening,1
YouTube,Live,Fashion,2039,743,538,724500,3215,309921,1.07,20,Sunday,15.0,60,Positive,Macro,True,True,Evening,0
Instagram,Reel,Fitness,8692,390,57,29912,666,496986,1.84,1,Monday,7.0,211,Positive,Macro,True,False,Night,0
LinkedIn,Document,Technology,404,45,344,3712,31,335476,0.24,3,Monday,21.0,648,Positive,Macro,True,False,Night,0
YouTube,Short,Travel,6825,443,1292,833834,504,208029,4.11,11,Monday,9.0,77,Positive,Macro,False,True,Morning,1
Twitter,Poll,Education,1363,232,1974,90117,26,295777,1.21,16,Monday,0.0,1387,Positive,Macro,True,False,Afternoon,0
Instagram,Carousel,Lifestyle,9700,117,270,30864,963,230006,4.39,16,Monday,15.0,851,Neutral,Macro,False,False,Afternoon,1
TikTok,Stitch,Lifestyle,46828,683,612,160091,2829,153852,31.28,17,Monday,10.0,365,Neutral,Macro,False,False,Evening,1
LinkedIn,Article,Health,1616,55,474,5289,26,35658,6.02,19,Monday,9.0,405,Negative,Micro,True,False,Evening,1
Twitter,Poll,Travel,648,150,1297,27300,145,242794,0.86,21,Monday,23.0,1723,Neutral,Macro,True,True,Night,0
Twitter,Tweet,Lifestyle,616,156,791,11866,310,426465,0.37,23,Monday,10.0,1875,Positive,Macro,True,False,Night,0
Instagram,Story,Sports,1936,315,10,18488,549,111940,2.02,0,Tuesday,5.0,353,Positive,Macro,True,False,Night,0
Instagram,Photo,Sports,2563,293,119,49493,101,215721,1.38,0,Tuesday,13.0,242,Positive,Macro,True,False,Night,0
Instagram,Carousel,Gaming,3882,477,218,5221,535,363595,1.26,1,Tuesday,5.0,624,Positive,Macro,True,False,Night,0
Twitter,Thread,Health,773,197,1013,28299,180,50856,3.9,1,Tuesday,8.0,277,Neutral,Mid-tier,True,True,Night,1
Twitter,Retweet,Sports,1941,295,649,5433,296,338197,0.85,2,Tuesday,14.0,70,Positive,Macro,True,False,Night,0
Facebook,Post,Fitness,4024,125,599,38846,501,291790,1.63,7,Tuesday,26.0,1035,Positive,Macro,True,False,Morning,0
TikTok,Stitch,Lifestyle,14539,629,1551,227552,2484,215224,7.77,10,Tuesday,17.0,127,Neutral,Macro,True,True,Morning,1
Twitter,Thread,Fashion,3349,91,761,63761,35,440974,0.95,13,Tuesday,1.0,483,Neutral,Macro,True,False,Afternoon,0
YouTube,Live,Sports,18416,595,203,9164,4478,219517,8.75,14,Tuesday,1.0,412,Negative,Macro,False,False,Afternoon,1
LinkedIn,Document,Technology,1005,144,261,12844,117,353122,0.4,14,Tuesday,4.0,1480,Neutral,Macro,True,False,Afternoon,0
Facebook,Post,Gaming,5436,309,671,42304,444,346947,1.85,15,Tuesday,9.0,427,Neutral,Macro,True,False,Afternoon,0
Twitter,Tweet,Entertainment,4767,150,1423,97299,375,134041,4.73,21,Tuesday,20.0,835,Negative,Macro,True,False,Night,1
Facebook,Post,Entertainment,3568,392,279,50900,250,128737,3.29,1,Wednesday,15.0,1275,Positive,Macro,True,True,Night,1
YouTube,Live,Fitness,8233,809,1424,837103,3927,399302,2.62,6,Wednesday,5.0,379,Positive,Macro,True,False,Morning,1
TikTok,Duet,Education,44650,731,2320,320795,2230,303171,15.73,7,Wednesday,3.0,515,Negative,Macro,False,True,Morning,1
Twitter,Poll,Food,562,181,1030,13197,292,13021,13.62,8,Wednesday,9.0,241,Positive,Micro,True,False,Morning,1
Twitter,Retweet,Education,1828,204,721,55232,408,392473,0.7,8,Wednesday,1.0,721,Neutral,Macro,False,False,Morning,0
YouTube,Live,Business,10190,770,166,86066,1221,73416,15.15,12,Wednesday,11.0,418,Neutral,Mid-tier,True,True,Afternoon,1
Facebook,Post,Gaming,5117,233,106,24311,239,474729,1.15,16,Wednesday,20.0,988,Neutral,Macro,True,True,Afternoon,0
TikTok,Video,Lifestyle,46998,801,2942,322649,2353,264047,19.22,16,Wednesday,6.0,347,Neutral,Macro,True,False,Afternoon,1
Twitter,Thread,Fitness,835,64,1481,39380,138,62588,3.8,2,Thursday,25.0,1306,Positive,Mid-tier,True,False,Night,1
TikTok,Duet,Fitness,5592,453,1691,163564,1863,499675,1.55,4,Thursday,18.0,568,Positive,Macro,True,True,Night,0
Instagram,Story,Gaming,238,278,72,7645,817,49848,1.18,6,Thursday,23.0,1391,Neutral,Micro,True,False,Morning,0
Facebook,Video,Fashion,1097,274,906,50989,378,60388,3.77,10,Thursday,17.0,232,Positive,Mid-tier,True,True,Morning,1
Twitter,Poll,Food,1930,291,1791,77286,404,1647,243.59,15,Thursday,20.0,863,Neutral,Nano,True,False,Afternoon,1
Twitter,Tweet,Sports,107,107,919,71949,99,15931,7.11,17,Thursday,14.0,1315,Positive,Micro,True,False,Evening,1
Twitter,Retweet,Health,1124,252,567,53508,373,26967,7.21,20,Thursday,27.0,1589,Neutral,Micro,True,False,Evening,1
YouTube,Video,Food,7105,551,1434,76976,3852,54876,16.56,22,Thursday,24.0,245,Neutral,Mid-tier,True,True,Night,1
Facebook,Video,Entertainment,5542,56,450,44656,400,306176,1.98,22,Thursday,15.0,1471,Negative,Macro,True,False,Night,0
TikTok,Video,Technology,43887,1769,2799,219838,1485,453410,10.69,22,Thursday,26.0,29,Positive,Macro,True,False,Night,1
LinkedIn,Article,Food,1189,113,319,16418,242,184571,0.88,3,Friday,16.0,501,Negative,Macro,True,False,Night,0
Twitter,Thread,Entertainment,2116,7,383,70001,378,273587,0.92,4,Friday,26.0,1319,Positive,Macro,True,True,Night,0
LinkedIn,Document,Sports,1196,39,186,13894,199,438463,0.32,5,Friday,27.0,1451,Positive,Macro,True,False,Morning,0
LinkedIn,Poll,Gaming,256,45,147,4259,46,95068,0.47,7,Friday,10.0,875,Neutral,Mid-tier,True,True,Morning,0
Instagram,Story,Gaming,3824,302,183,4929,520,432693,1.0,14,Friday,13.0,1928,Neutral,Macro,True,False,Afternoon,0
Instagram,Story,Fitness,9526,67,165,12084,855,248709,3.92,14,Friday,26.0,1230,Neutral,Macro,True,False,Afternoon,1
YouTube,Video,Technology,6088,549,401,301201,2008,53755,13.09,20,Friday,1.0,490,Negative,Mid-tier,True,True,Evening,1
Instagram,Carousel,Gaming,7940,302,2,4618,512,18967,43.46,23,Friday,12.0,1470,Positive,Micro,True,False,Night,1
Instagram,Story,Travel,1567,243,75,13675,341,324477,0.58,0,Saturday,23.0,96,Positive,Macro,False,False,Night,0
Instagram,Carousel,Entertainment,9181,151,112,22878,367,92545,10.2,8,Saturday,5.0,1734,Positive,Mid-tier,True,False,Morning,1
Instagram,Story,Gaming,2431,110,188,43154,719,255389,1.07,9,Saturday,23.0,1302,Neutral,Macro,True,False,Morning,0
TikTok,Video,Entertainment,37848,1840,1969,221452,2178,122204,34.09,10,Saturday,10.0,282,Positive,Macro,False,True,Morning,1
Facebook,Video,Lifestyle,1567,252,738,18130,145,187716,1.36,10,Saturday,0.0,67,Negative,Macro,False,False,Morning,0
Facebook,Post,Fashion,1542,101,186,60360,240,65998,2.77,13,Saturday,14.0,1492,Positive,Mid-tier,True,True,Afternoon,1
LinkedIn,Post,Technology,322,68,454,2634,187,81115,1.04,13,Saturday,25.0,385,Positive,Mid-tier,True,False,Afternoon,0
Facebook,Post,Travel,6017,260,574,53571,497,98714,6.94,16,Saturday,11.0,776,Positive,Mid-tier,True,True,Afternoon,1
Facebook,Story,Fitness,7996,213,957,49847,65,135461,6.77,21,Saturday,9.0,320,Positive,Macro,True,True,Night,1
Instagram,Carousel,Sports,4144,367,110,10024,61,6118,75.53,0,Sunday,19.0,677,Negative,Nano,False,False,Night,1
YouTube,Video,Business,18120,712,926,949244,276,385238,5.13,3,Sunday,14.0,399,Positive,Macro,True,False,Night,1
YouTube,Short,Sports,18276,105,336,654638,3246,335758,5.57,6,Sunday,15.0,453,Negative,Macro,False,True,Morning,1
Twitter,Retweet,Travel,2638,148,500,90547,391,433681,0.76,17,Sunday,9.0,954,Positive,Macro,False,False,Evening,0
Facebook,Live,Fitness,1290,89,612,61654,296,202012,0.99,22,Sunday,21.0,90,Negative,Macro,True,False,Night,0
Facebook,Live,Entertainment,7660,122,980,54960,135,482156,1.82,22,Sunday,9.0,366,Neutral,Macro,True,False,Night,0
TikTok,Duet,Fitness,30956,776,1007,174695,1253,304110,10.77,23,Sunday,19.0,51,Neutral,Macro,True,True,Night,1
YouTube,Video,Business,11609,574,599,902321,1024,432151,2.96,1,Monday,13.0,50,Positive,Macro,True,False,Night,1
Instagram,Story,Sports,4871,202,8,27009,20,24438,20.79,3,Monday,15.0,1979,Neutral,Micro,False,False,Night,1
YouTube,Short,Entertainment,12972,460,56,151859,2211,494240,2.73,3,Monday,10.0,470,Positive,Macro,True,False,Night,1
Facebook,Video,Gaming,5023,30,158,71478,726,462412,1.13,4,Monday,17.0,220,Positive,Macro,True,False,Night,0
LinkedIn,Post,Business,427,95,57,17427,235,3107,18.64,11,Monday,7.0,1492,Negative,Nano,True,False,Morning,1
Facebook,Video,Entertainment,1690,118,395,24012,194,294790,0.75,12,Monday,27.0,88,Neutral,Macro,True,False,Afternoon,0
Twitter,Poll,Food,3698,73,505,94055,491,368667,1.16,17,Monday,27.0,875,Neutral,Macro,True,False,Evening,0
LinkedIn,Document,Food,1859,137,360,28867,246,461337,0.51,18,Monday,10.0,1930,Positive,Macro,True,False,Evening,0
Twitter,Thread,Fashion,1514,247,1857,8160,388,363727,0.99,22,Monday,8.0,1427,Positive,Macro,True,False,Night,0
YouTube,Community Post,Food,18498,249,727,249577,736,108143,18.01,22,Monday,17.0,1976,Positive,Macro,False,False,Night,1
LinkedIn,Article,Fashion,1717,38,286,23850,56,382290,0.53,2,Tuesday,29.0,737,Neutral,Macro,True,False,Night,0
Facebook,Live,Health,3543,309,784,78334,133,323254,1.43,2,Tuesday,7.0,128,Positive,Macro,True,False,Night,0
Instagram,Story,Lifestyle,7934,405,227,46285,220,390912,2.19,5,Tuesday,15.0,128,Neutral,Macro,False,False,Morning,0
TikTok,Stitch,Entertainment,6189,1352,4911,490357,778,396720,3.14,6,Tuesday,13.0,585,Positive,Macro,True,False,Morning,1
Twitter,Poll,Entertainment,3527,98,516,15744,440,277481,1.49,8,Tuesday,0.0,1822,Positive,Macro,True,False,Morning,0
TikTok,Stitch,Entertainment,28510,352,4447,131407,1510,386463,8.62,21,Tuesday,6.0,468,Positive,Macro,True,False,Night,1
Instagram,Carousel,Lifestyle,9563,337,250,12744,694,175578,5.78,22,Tuesday,11.0,357,Negative,Macro,True,True,Night,1
Instagram,Carousel,Sports,8018,425,180,44956,550,356918,2.42,23,Tuesday,6.0,348,Positive,Macro,True,False,Night,1
Instagram,Carousel,Technology,5961,375,93,4812,165,28473,22.58,9,Wednesday,3.0,203,Negative,Micro,True,False,Morning,1
Twitter,Thread,Sports,3929,201,1363,13268,97,449869,1.22,12,Wednesday,28.0,1337,Neutral,Macro,True,False,Afternoon,0
Facebook,Post,Technology,2702,65,376,70615,284,19476,16.14,16,Wednesday,12.0,1567,Negative,Micro,True,False,Afternoon,1
Facebook,Live,Sports,783,237,692,50674,550,367770,0.47,1,Thursday,11.0,160,Positive,Macro,True,True,Night,0
YouTube,Community Post,Sports,16307,455,608,673153,1936,460045,3.78,3,Thursday,3.0,303,Positive,Macro,True,False,Night,1
TikTok,Duet,Education,12193,1470,320,492450,2751,321866,4.34,4,Thursday,24.0,176,Negative,Macro,True,False,Night,1
TikTok,Duet,Technology,3669,1252,4349,297229,2345,348195,2.66,5,Thursday,15.0,392,Neutral,Macro,True,False,Morning,1
Facebook,Live,Business,372,208,417,45496,191,380920,0.26,10,Thursday,19.0,298,Neutral,Macro,True,False,Morning,0
Instagram,Photo,Food,2119,291,106,37512,281,366450,0.69,10,Thursday,19.0,1814,Positive,Macro,True,False,Morning,0
Instagram,Carousel,Travel,6926,210,99,8782,485,98726,7.33,13,Thursday,13.0,1184,Positive,Mid-tier,True,False,Afternoon,1
TikTok,Video,Food,48764,266,3826,149836,1497,19931,265.19,17,Thursday,1.0,187,Neutral,Micro,True,False,Evening,1
Twitter,Thread,Fashion,4540,294,1213,60945,435,133986,4.51,20,Thursday,25.0,935,Positive,Macro,True,False,Evening,1
Instagram,Carousel,Business,3067,323,133,40611,61,91371,3.86,20,Thursday,28.0,1137,Positive,Mid-tier,True,False,Evening,1
Instagram,Reel,Travel,3504,120,150,37555,754,117013,3.23,21,Thursday,21.0,269,Positive,Macro,True,False,Night,1
LinkedIn,Post,Travel,1429,71,490,20827,93,458042,0.43,0,Friday,29.0,806,Neutral,Macro,True,False,Night,0
TikTok,Stitch,Lifestyle,32639,1752,4916,397070,180,221695,17.73,2,Friday,21.0,404,Negative,Macro,True,False,Night,1
Facebook,Story,Lifestyle,2737,294,854,67245,449,185617,2.09,4,Friday,23.0,748,Neutral,Macro,True,True,Night,0
Instagram,Reel,Entertainment,8882,338,293,21586,549,201096,4.73,5,Friday,13.0,125,Neutral,Macro,True,False,Morning,1
YouTube,Video,Fitness,3942,161,160,604832,3269,418122,1.02,10,Friday,0.0,214,Positive,Macro,True,False,Morning,0
Twitter,Poll,Technology,826,49,31,91638,267,430328,0.21,10,Friday,12.0,202,Negative,Macro,True,False,Morning,0
Twitter,Tweet,Fashion,4061,266,1410,12179,451,25894,22.16,12,Friday,19.0,94,Positive,Micro,True,False,Afternoon,1
TikTok,Video,Gaming,49194,299,1311,441374,1792,424287,11.97,13,Friday,7.0,355,Positive,Macro,True,False,Afternoon,1
YouTube,Video,Fashion,14601,108,1760,485405,2397,122941,13.4,23,Friday,21.0,217,Neutral,Macro,False,False,Night,1
Instagram,Story,Travel,5154,301,158,16569,956,203324,2.76,0,Saturday,24.0,1216,Positive,Macro,False,False,Night,1
TikTok,Duet,Lifestyle,37945,1226,2317,112532,2664,472400,8.78,0,Saturday,14.0,596,Positive,Macro,True,False,Night,1
Twitter,Tweet,Lifestyle,1856,274,1709,7476,397,467606,0.82,3,Saturday,16.0,1282,Neutral,Macro,False,True,Night,0
LinkedIn,Document,Education,1013,17,423,19196,216,140857,1.03,15,Saturday,0.0,101,Positive,Macro,True,False,Afternoon,0
Facebook,Story,Business,1515,58,234,40763,590,46816,3.86,15,Saturday,3.0,1991,Positive,Micro,True,True,Afternoon,1
Facebook,Video,Business,7986,16,989,29191,643,59204,15.19,18,Saturday,7.0,254,Positive,Mid-tier,True,False,Evening,1
